ticker,company,fiscal_year,period_end,gross_profit_usd,revenue_usd,gross_margin,retrieved
AMD,AMD,2016,2016-12-31,1003000000,4319000000,0.2322,2026-05-29
AMD,AMD,2017,2017-12-30,1787000000,5253000000,0.3402,2026-05-29
AMD,AMD,2018,2018-12-29,2447000000,6475000000,0.3779,2026-05-29
AMD,AMD,2019,2019-12-28,2868000000,6731000000,0.4261,2026-05-29
AMD,AMD,2020,2020-12-26,4347000000,9763000000,0.4453,2026-05-29
AMD,AMD,2021,2021-12-25,7929000000,16434000000,0.4825,2026-05-29
AMD,AMD,2022,2022-12-31,10603000000,23601000000,0.4493,2026-05-29
AMD,AMD,2023,2023-12-30,10460000000,22680000000,0.4612,2026-05-29
AMD,AMD,2024,2024-12-28,12725000000,25785000000,0.4935,2026-05-29
AMD,AMD,2025,2025-12-27,17152000000,34639000000,0.4952,2026-05-29
NVDA,NVIDIA,2008,2008-01-27,1869280000,4097860000,0.4562,2026-05-29
NVDA,NVIDIA,2009,2009-01-25,1174269000,3424859000,0.3429,2026-05-29
NVDA,NVIDIA,2010,2010-01-31,1176923000,3326445000,0.3538,2026-05-29
NVDA,NVIDIA,2011,2011-01-30,1409090000,3543309000,0.3977,2026-05-29
NVDA,NVIDIA,2012,2012-01-29,2056517000,3997930000,0.5144,2026-05-29
NVDA,NVIDIA,2013,2013-01-27,2226343000,4280159000,0.5202,2026-05-29
NVDA,NVIDIA,2014,2014-01-26,2268000000,4130000000,0.5492,2026-05-29
NVDA,NVIDIA,2015,2015-01-25,2599000000,4682000000,0.5551,2026-05-29
NVDA,NVIDIA,2016,2016-01-31,2811000000,5010000000,0.5611,2026-05-29
NVDA,NVIDIA,2017,2017-01-29,4063000000,6910000000,0.588,2026-05-29
NVDA,NVIDIA,2018,2018-01-28,5822000000,9714000000,0.5993,2026-05-29
NVDA,NVIDIA,2020,2020-01-26,6768000000,10918000000,0.6199,2026-05-29
NVDA,NVIDIA,2021,2021-01-31,10396000000,16675000000,0.6234,2026-05-29
NVDA,NVIDIA,2022,2022-01-30,17475000000,26914000000,0.6493,2026-05-29
NVDA,NVIDIA,2023,2023-01-29,15356000000,26974000000,0.5693,2026-05-29
NVDA,NVIDIA,2024,2024-01-28,44301000000,60922000000,0.7272,2026-05-29
NVDA,NVIDIA,2025,2025-01-26,97858000000,130497000000,0.7499,2026-05-29
NVDA,NVIDIA,2026,2026-01-25,153463000000,215938000000,0.7107,2026-05-29
